observation_index,saison,spieltag,spiel,baseline_model,candidate_model,baseline_negative_log_score,candidate_negative_log_score,candidate_score_advantage,cumulative_candidate_score_advantage
207,18/19,24,1,poisson_rolling_306,com_poisson_rolling_306,3.0436574708074673,2.94346784833823,0.10018962246923735,0.10018962246923735
208,18/19,24,2,poisson_rolling_306,com_poisson_rolling_306,3.5090969845213706,3.556103570206318,-0.04700658568494731,0.05318303678429004
209,18/19,24,3,poisson_rolling_306,com_poisson_rolling_306,3.1274924916790283,3.066213011609136,0.061279480069892145,0.11446251685418218
210,18/19,24,4,poisson_rolling_306,com_poisson_rolling_306,3.5090969845213706,3.556103570206318,-0.04700658568494731,0.06745593116923487
211,18/19,24,5,poisson_rolling_306,com_poisson_rolling_306,3.068519379602499,2.9473350811631747,0.12118429843932432,0.1886402296085592
212,18/19,24,6,poisson_rolling_306,com_poisson_rolling_306,3.1274924916790283,3.066213011609136,0.061279480069892145,0.24991970967845134
213,18/19,24,7,poisson_rolling_306,com_poisson_rolling_306,2.9514270589972185,2.7892166636558784,0.16221039534134007,0.4121301050197914
214,18/19,24,8,poisson_rolling_306,com_poisson_rolling_306,3.504468439518554,3.6122850173947256,-0.1078165778761715,0.3043135271436199
215,18/19,24,9,poisson_rolling_306,com_poisson_rolling_306,3.231946799753338,3.218182980231518,0.013763819521820153,0.3180773466654401
216,18/19,25,1,poisson_rolling_306,com_poisson_rolling_306,2.9108419842115083,2.742287920263152,0.16855406394835626,0.48663141061379633
217,18/19,25,2,poisson_rolling_306,com_poisson_rolling_306,3.667078759938555,3.7772105656485166,-0.11013180570996184,0.3764996049038345
218,18/19,25,3,poisson_rolling_306,com_poisson_rolling_306,2.97759435172258,2.845046604361386,0.132547747361194,0.5090473522650285
219,18/19,25,4,poisson_rolling_306,com_poisson_rolling_306,3.071299791087988,2.950487896588129,0.12081189449985885,0.6298592467648874
220,18/19,25,5,poisson_rolling_306,com_poisson_rolling_306,2.906223038355243,2.7317680763841565,0.17445496197108668,0.804314208735974
221,18/19,25,6,poisson_rolling_306,com_poisson_rolling_306,4.855607114085593,5.556934010829508,-0.7013268967439146,0.10298731199205946
222,18/19,25,7,poisson_rolling_306,com_poisson_rolling_306,2.9108419842115083,2.742287920263152,0.16855406394835626,0.2715413759404157
223,18/19,25,8,poisson_rolling_306,com_poisson_rolling_306,2.9527185513351455,2.789916763915187,0.16280178741995854,0.43434316336037426
224,18/19,25,9,poisson_rolling_306,com_poisson_rolling_306,2.9345091250385096,2.7798722440576853,0.1546368809808243,0.5889800443411985
225,18/19,26,1,poisson_rolling_306,com_poisson_rolling_306,3.1601032338788357,3.0725285459111973,0.08757468796763845,0.676554732308837
226,18/19,26,2,poisson_rolling_306,com_poisson_rolling_306,3.2230145881112904,3.2056653122095184,0.017349275901771932,0.6939040082106089
227,18/19,26,3,poisson_rolling_306,com_poisson_rolling_306,3.2634152110163726,3.2154673670882374,0.047947843928135114,0.741851852138744
228,18/19,26,4,poisson_rolling_306,com_poisson_rolling_306,2.932982668209611,2.777357908085051,0.15562476012456017,0.8974766122633042
229,18/19,26,5,poisson_rolling_306,com_poisson_rolling_306,2.9753825022534173,2.8416210281402385,0.13376147411317874,1.031238086376483
230,18/19,26,6,poisson_rolling_306,com_poisson_rolling_306,3.1199901322509973,3.0551940857214532,0.06479604652954407,1.096034132906027
231,18/19,26,7,poisson_rolling_306,com_poisson_rolling_306,4.063300684370837,4.420403824952174,-0.3571031405813372,0.7389309923246898
232,18/19,26,8,poisson_rolling_306,com_poisson_rolling_306,2.9208259466029247,2.7481591810755646,0.17266676552736016,0.91159775785205
233,18/19,26,9,poisson_rolling_306,com_poisson_rolling_306,3.037584963593453,2.934043449654993,0.10354151393845967,1.0151392717905097
234,18/19,27,1,poisson_rolling_306,com_poisson_rolling_306,3.1682195266726936,3.0829981835283746,0.08522134314431895,1.1003606149348286
235,18/19,27,2,poisson_rolling_306,com_poisson_rolling_306,3.111322448833711,3.042153286232079,0.0691691626016322,1.1695297775364608
236,18/19,27,3,poisson_rolling_306,com_poisson_rolling_306,3.2732099014313363,3.229060560325749,0.044149341105587325,1.2136791186420481
237,18/19,27,4,poisson_rolling_306,com_poisson_rolling_306,2.9570147649977585,2.7931738925776273,0.16384087242013123,1.3775199910621794
